Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
DEFENSE_RESPONSE_TO_VIRUS	0.7026993145379735	63	BNIP3,APOBEC3G,TLR8,TLR7,RSAD2,IL29	rs2305258,rs16865717,rs2413565,rs16865704,rs3796115,rs3736685,rs1620233,rs1731479,rs5743740,rs1638596,rs2159377,rs5743749,rs12160242,rs7570384,rs2712029,rs5744077,rs1548731,rs6431837,rs2413570,rs6431835,rs3747414,rs3753008,rs179019,rs5935436,rs5741889,rs1013150,rs10182815,rs8108392,rs7247086,rs4669111,rs5744044,rs4669114,rs4669113,rs5750735,rs2595173,rs179010,rs10495546,rs8107861,rs179012,rs179013,rs5743720,rs30461,rs864058,rs179009,rs5757465,rs3764880,rs7886759,rs4830807,rs4830808,rs3793740,rs5757462,rs5744048,rs8108057,rs7247097,rs2302267,rs5757458,rs10427620,rs5744081,rs5744080,rs5744084,rs6001402,rs8177832,rs5757451	1	0.014
ADAPTIVE_IMMUNE_RESPONSE	0.6957305252224057	49	EBI3,CD74,CRTAM,IL12A,TLR8	rs3134425,rs2243131,rs10750229,rs2159377,rs4905,rs5744077,rs1548731,rs2243123,rs13345747,rs11218856,rs3747414,rs11218863,rs568408,rs17338032,rs5741889,rs1013150,rs2272094,rs2177194,rs7126620,rs5744044,rs2243115,rs2140151,rs2370796,rs7722480,rs17126930,rs3764880,rs2370794,rs3107634,rs4830807,rs4830808,rs3133250,rs1056400,rs5744048,rs3107638,rs4740,rs2288817,rs12099195,rs7941607,rs1916040,rs10790539,rs5744081,rs5744080,rs3107606,rs1879883,rs5744084,rs12270235,rs11749903,rs583911,rs7125644	1	0.088
CARBOHYDRATE_CATABOLIC_PROCESS	0.6829592617963492	93	ECD,TKTL1,CHIT1,GAA,HYAL4,TREH,PGLS	rs2239467,rs2239466,rs2297948,rs11000530,rs7878511,rs6427997,rs10158547,rs4950937,rs10953985,rs17466945,rs1078000,rs6743,rs2486070,rs5986969,rs12240976,rs2494295,rs1034955,rs12268142,rs10276917,rs17703063,rs7530789,rs2486948,rs8102140,rs2486072,rs11605801,rs12014497,rs7547716,rs2276064,rs3763723,rs11086076,rs2297950,rs1800309,rs3820145,rs17146431,rs2271905,rs10790256,rs2271903,rs2271904,rs12010971,rs7802224,rs1800300,rs17532442,rs10126322,rs5987241,rs17174296,rs7389,rs5987245,rs5987244,rs2315056,rs6949082,rs2041344,rs6512198,rs36930,rs2229221,rs17336718,rs17748,rs8132,rs12141375,rs7069878,rs2241887,rs3766539,rs10437379,rs7537408,rs2304836,rs2486961,rs36929,rs2486962,rs12450199,rs2486963,rs12706554,rs7079875,rs3816257,rs1340239,rs2494287,rs4889820,rs7087762,rs766419,rs17533071,rs3812619,rs879142,rs6685220,rs10892251,rs3812618,rs6672661,rs1340237,rs12672205,rs745663,rs2486958,rs8104468,rs2191308,rs2494283,rs2494281,rs2872817	1	0.124
INTERFERON_GAMMA_PRODUCTION	0.7048830774603431	46	EBI3,INHBA,TLR8,TLR9,TLR7,IL12A	rs5743839,rs5744044,rs2243115,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs1638596,rs179009,rs2243131,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs4905,rs6958234,rs5744048,rs5743749,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs2243123,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs568408,rs5744081,rs5744080,rs5935436,rs5741889,rs1013150,rs5744084,rs583911	1	0.034
POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.6764001378983044	131	EBI3,LAT2,IL7,CRTAM,NCK1,SPHK1,TLR8,SOD1,SIRPG,IL29,IL12A,TRAT1,IL21	rs4678274,rs7277748,rs2583759,rs1348994,rs17146114,rs9815771,rs907715,rs13045212,rs2717536,rs6043388,rs1119642,rs2243131,rs6783999,rs1872072,rs2159377,rs3744037,rs2715694,rs2023380,rs5744077,rs4739139,rs898082,rs2243123,rs3762792,rs3746719,rs13345747,rs4817420,rs3747414,rs2717543,rs12544041,rs11776228,rs3811686,rs2177194,rs2717548,rs8108392,rs7126620,rs7247086,rs5744044,rs7651205,rs9833952,rs2243115,rs2715716,rs11778246,rs2290055,rs2140151,rs2583778,rs30461,rs3746720,rs1447708,rs3746721,rs3746722,rs2370796,rs2715713,rs2370794,rs3107634,rs8108057,rs3107638,rs5744048,rs6786302,rs11699714,rs7247097,rs2715729,rs11990466,rs11905167,rs1374818,rs346797,rs10790539,rs1347209,rs442548,rs6043374,rs2221903,rs1879883,rs1447713,rs2593831,rs2715725,rs13320485,rs9828009,rs9989481,rs3134425,rs13080704,rs4833837,rs9878367,rs10750229,rs4905,rs346801,rs1548731,rs1441438,rs2953339,rs6796621,rs1535883,rs2953474,rs6074927,rs11218856,rs11218863,rs9846691,rs568408,rs17338032,rs9879812,rs5741889,rs1013150,rs2272094,rs4507261,rs7648817,rs10933964,rs2293757,rs1545228,rs17505589,rs8107861,rs10110519,rs11775538,rs17126930,rs6764854,rs3764880,rs7609997,rs4830807,rs3133250,rs4830808,rs4740,rs7941607,rs12099195,rs1916040,rs3739330,rs3772388,rs5744081,rs3107606,rs5744080,rs5744084,rs1041740,rs7816685,rs12270235,rs583911,rs7125644	1	0.196
AMINO_ACID_DERIVATIVE_METABOLIC_PROCESS	0.6971699507058332	92	SLC5A7,GATM,HPRT1,DHPS,OAZ1,SMS,SNCAIP	rs2238962,rs3759899,rs2238963,rs11748334,rs17149115,rs5904497,rs10478554,rs10414020,rs892559,rs3747277,rs3747276,rs2071136,rs2046510,rs2278461,rs10066937,rs13140,rs1049518,rs2238964,rs5951490,rs3806536,rs1009643,rs1013940,rs6753886,rs6877153,rs4395020,rs13020302,rs4774580,rs333236,rs4829768,rs333234,rs4461665,rs333235,rs7164602,rs6638254,rs7725801,rs11685873,rs2238958,rs7066303,rs2450282,rs1049508,rs11956258,rs2070888,rs7701124,rs5951670,rs17149141,rs4676169,rs732946,rs6634990,rs3891326,rs12985777,rs1478373,rs6528078,rs333226,rs333224,rs6634997,rs13422385,rs6638244,rs10425108,rs4824171,rs333227,rs6638241,rs7059727,rs3731683,rs167349,rs6638240,rs5951676,rs28758673,rs3731684,rs304379,rs13345845,rs5951678,rs12437887,rs5951487,rs13013808,rs3811909,rs13014176,rs5904605,rs3811903,rs9972498,rs437849,rs2515695,rs304383,rs1021247,rs11957590,rs2242223,rs2242224,rs12013805,rs333216,rs17324664,rs12437840,rs304388,rs304386	1	0.012
BIOGENIC_AMINE_METABOLIC_PROCESS	0.6988309984643143	83	SLC5A7,HPRT1,DHPS,OAZ1,SMS,SNCAIP	rs2238962,rs2238963,rs11748334,rs17149115,rs5904497,rs10478554,rs10414020,rs892559,rs3747277,rs3747276,rs2071136,rs2046510,rs2278461,rs10066937,rs13140,rs2238964,rs5951490,rs3806536,rs1009643,rs1013940,rs6753886,rs6877153,rs13020302,rs4829768,rs333236,rs4461665,rs333234,rs333235,rs6638254,rs7725801,rs11685873,rs2238958,rs7066303,rs2450282,rs11956258,rs2070888,rs7701124,rs5951670,rs17149141,rs4676169,rs732946,rs6634990,rs3891326,rs12985777,rs1478373,rs6528078,rs333226,rs333224,rs6634997,rs13422385,rs6638244,rs10425108,rs4824171,rs333227,rs6638241,rs7059727,rs3731683,rs167349,rs6638240,rs5951676,rs28758673,rs3731684,rs304379,rs13345845,rs5951678,rs5951487,rs13013808,rs3811909,rs13014176,rs5904605,rs3811903,rs437849,rs2515695,rs304383,rs1021247,rs11957590,rs2242223,rs2242224,rs12013805,rs333216,rs17324664,rs304388,rs304386	1	0.012
POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.7202757518367785	8	SOD1,IL12A	rs4817420,rs568408,rs2243115,rs2243123,rs7277748,rs2243131,rs1041740,rs583911	1	0.174
POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.6765837038230961	122	EBI3,LAT2,IL7,CRTAM,NCK1,TLR8,SIRPG,IL29,IL12A,TRAT1,IL21	rs4678274,rs2583759,rs1348994,rs17146114,rs9815771,rs907715,rs13045212,rs2717536,rs6043388,rs1119642,rs2243131,rs6783999,rs1872072,rs2159377,rs2715694,rs2023380,rs5744077,rs4739139,rs2243123,rs3762792,rs3746719,rs13345747,rs3747414,rs2717543,rs12544041,rs11776228,rs3811686,rs2177194,rs2717548,rs8108392,rs7126620,rs7247086,rs5744044,rs7651205,rs9833952,rs2243115,rs2715716,rs11778246,rs2290055,rs2140151,rs2583778,rs30461,rs3746720,rs1447708,rs3746721,rs3746722,rs2370796,rs2715713,rs2370794,rs3107634,rs8108057,rs3107638,rs5744048,rs6786302,rs11699714,rs7247097,rs2715729,rs11990466,rs11905167,rs1374818,rs10790539,rs1347209,rs6043374,rs2221903,rs1879883,rs1447713,rs2593831,rs2715725,rs13320485,rs9828009,rs3134425,rs13080704,rs4833837,rs9878367,rs10750229,rs4905,rs1548731,rs1441438,rs2953339,rs6796621,rs1535883,rs2953474,rs6074927,rs11218856,rs11218863,rs9846691,rs568408,rs17338032,rs9879812,rs5741889,rs1013150,rs2272094,rs4507261,rs7648817,rs10933964,rs2293757,rs1545228,rs17505589,rs8107861,rs10110519,rs11775538,rs17126930,rs6764854,rs3764880,rs7609997,rs4830807,rs3133250,rs4830808,rs4740,rs7941607,rs12099195,rs1916040,rs3739330,rs3772388,rs5744081,rs3107606,rs5744080,rs5744084,rs7816685,rs12270235,rs583911,rs7125644	1	0.194
REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	0.7044118502997497	41	EBI3,INHBA,TLR9,TLR8,TLR7	rs5743839,rs5744044,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs179009,rs1638596,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs4905,rs5744048,rs6958234,rs5743749,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs5744081,rs5744080,rs5935436,rs5741889,rs5744084,rs1013150	1	0.04
INTERLEUKIN_8_PRODUCTION	0.7028437048080842	31	APOA2,TLR8,TLR7	rs5744044,rs179010,rs179012,rs179013,rs5743720,rs1620233,rs1731479,rs864058,rs5743740,rs179009,rs1638596,rs3764880,rs7886759,rs4830807,rs4830808,rs12721035,rs2159377,rs5744048,rs5743749,rs2302267,rs5744077,rs1548731,rs179019,rs3747414,rs5744081,rs5744080,rs5935436,rs5741889,rs5744084,rs1013150,rs6413453	1	0.124
