Array Design Name	Affymetrix GeneChip Human Genome U95D [HG_U95D]
Comment[AdditionalFile:CDF]	HG_U95D.CDF
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-12
Comment[SubmittedName]	Affymetrix GeneChip Human Genome U95D [HG_U95D]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	mgd	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
AFFX-HUMRGE/M10098_3_at	AFFX-HUMRGE/M10098_3_at	M10098					AFFX-HUMRGE/M10098_3_at													
AFFX-HUMGAPDH/M33197_5_at	AFFX-HUMGAPDH/M33197_5_at	M33197	Q16768	d4gpd11	NM_002046	gpdh	AFFX-HUMGAPDH/M33197_5_at		2597	IPR000173	IPB000173	1.2.1.12	7669492	Hs.169476	ENSG00000111640	138400	MAP00010			
AFFX-HUMGAPDH/M33197_M_at	AFFX-HUMGAPDH/M33197_M_at	M33197	P04406	d3gpdr2	NM_002046	gpdh_C	AFFX-HUMGAPDH/M33197_M_at		2597	IPR000173	IPB000173	1.4.1.16	7669492	Hs.169476	ENSG00000111640	138400	MAP00472			
AFFX-HUMGAPDH/M33197_3_at	AFFX-HUMGAPDH/M33197_3_at	M33197	P04406	d4gpd11	NM_002046	gpdh_C	AFFX-HUMGAPDH/M33197_3_at		2597	IPR000173	IPB000173	1.4.1.16	7669492	Hs.169476	ENSG00000111640	138400	MAP00472			
AFFX-HSAC07/X00351_5_at	AFFX-HSAC07/X00351_5_at	X00351	AAH14861	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_5_at		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-HSAC07/X00351_M_at	AFFX-HSAC07/X00351_M_at	X00351	Q9UE89	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_M_at		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-HSAC07/X00351_3_at	AFFX-HSAC07/X00351_3_at	X00351	Q9UE89	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_3_at		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-HUMTFRR/M11507_5_at	AFFX-HUMTFRR/M11507_5_at	M11507	P02786	d1de4c3	NM_003234	TFR_dimer	AFFX-HUMTFRR/M11507_5_at		7037	IPR003137	IPB003137		6164848	Hs.77356	ENSG00000072274	190010				
AFFX-HUMTFRR/M11507_M_at	AFFX-HUMTFRR/M11507_M_at	M11507	P02786	d1de4c3	NM_003234	TFR_dimer	AFFX-HUMTFRR/M11507_M_at		7037	IPR003137	IPB003137		6164848	Hs.77356	ENSG00000072274	190010				
AFFX-HUMTFRR/M11507_3_at	AFFX-HUMTFRR/M11507_3_at	M11507	P02786	d1de4c3	NM_003234	TFR_dimer	AFFX-HUMTFRR/M11507_3_at		7037	IPR003137	IPB003137		6164848	Hs.77356	ENSG00000072274	190010				
AFFX-M27830_5_at	AFFX-M27830_5_at	M27830					AFFX-M27830_5_at													
AFFX-M27830_M_at	AFFX-M27830_M_at	M27830					AFFX-M27830_M_at													
AFFX-M27830_3_at	AFFX-M27830_3_at	M27830					AFFX-M27830_3_at													
AFFX-HSAC07/X00351_3_st	AFFX-HSAC07/X00351_3_st	X00351	Q9UE89	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_3_st		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-HUMGAPDH/M33197_5_st	AFFX-HUMGAPDH/M33197_5_st	M33197	Q16768	d4gpd11	NM_002046	gpdh_C	AFFX-HUMGAPDH/M33197_5_st		2597	IPR000173	IPB000173	1.4.1.16	7669492	Hs.169476	ENSG00000111640	138400	MAP00472			
AFFX-HUMGAPDH/M33197_M_st	AFFX-HUMGAPDH/M33197_M_st	M33197	P04406	d3gpdr2	NM_002046	gpdh_C	AFFX-HUMGAPDH/M33197_M_st		2597	IPR000173	IPB000173	1.2.1.12	7669492	Hs.169476	ENSG00000111640	138400	MAP00472			
AFFX-HUMGAPDH/M33197_3_st	AFFX-HUMGAPDH/M33197_3_st	M33197	Q16768	d4gpd11	NM_002046	gpdh_C	AFFX-HUMGAPDH/M33197_3_st		2597	IPR000173	IPB000173	1.4.1.16	7669492	Hs.169476	ENSG00000111640	138400	MAP00472			
AFFX-HSAC07/X00351_5_st	AFFX-HSAC07/X00351_5_st	X00351	Q96E67	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_5_st		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-HSAC07/X00351_M_st	AFFX-HSAC07/X00351_M_st	X00351	Q9UE89	d2btfa1	NM_001101	actin	AFFX-HSAC07/X00351_M_st		60	IPR004001	IPB004000		63018	Hs.288061	ENSG00000075624	102630				
AFFX-YEL002c/WBP1_at	AFFX-YEL002c/WBP1_at	X61388					AFFX-YEL002c/WBP1_at													
AFFX-YEL018w/_at	AFFX-YEL018w/_at	U18530					AFFX-YEL018w/_at													
AFFX-YEL024w/RIP1_at	AFFX-YEL024w/RIP1_at	M23316					AFFX-YEL024w/RIP1_at													
AFFX-YEL021w/URA3_at	AFFX-YEL021w/URA3_at	K02207					AFFX-YEL021w/URA3_at													
67020_at	67020_at	AI656643					67020_at							Hs.156495						
67021_at	67021_at	AI342009					67021_at							Hs.156496						
67023_at	67023_at	AI342132					67023_at							Hs.417212						
67025_at	67025_at	AI342425					67025_at							Hs.156506						
67027_at	67027_at	AA724317					67027_at							Hs.156518						
67029_at	67029_at	AI829596					67029_at							Hs.156530						
67031_at	67031_at	AA931376					67031_at							Hs.156542						
67033_at	67033_at	AI963769					67033_at							Hs.156545						
67034_at	67034_at	AA824316					67034_at							Hs.156546						
67036_at	67036_at	AI692973	Q9UJD7				67036_at		57540	IPR003392				Hs.29131	ENSG00000162489					
67037_at	67037_at	AA834974					67037_at							Hs.156566						
67039_g_at	67039_g_at	AA834974					67039_g_at							Hs.156566						
67041_at	67041_at	AI418565					67041_at							Hs.156566						
67043_at	67043_at	AI795964					67043_at							Hs.156593						
67045_r_at	67045_r_at	AI343144					67045_r_at													
67047_at	67047_at	AI768744					67047_at							Hs.156600						
67051_r_at	67051_r_at	AI345851					67051_r_at							Hs.156608						
67053_at	67053_at	AI344234					67053_at							Hs.410378						
67054_at	67054_at	AI307799					67054_at							Hs.13329						
67056_at	67056_at	AI345171					67056_at							Hs.410398						
67057_r_at	67057_r_at	AI346206					67057_r_at							Hs.156646						
67059_at	67059_at	AI366840					67059_at							Hs.156651						
67061_at	67061_at	AI346833					67061_at							Hs.368803						
67063_at	67063_at	AI279615					67063_at							Hs.156684						
67065_at	67065_at	AI300994					67065_at													
67066_at	67066_at	AI921946					67066_at							Hs.156693						
67068_at	67068_at	AI298437					67068_at							Hs.301870						
67070_at	67070_at	AI291266					67070_at													
67072_at	67072_at	AI348902					67072_at							Hs.156701						
67074_at	67074_at	AI336655					67074_at													
67076_at	67076_at	AI365143					67076_at							Hs.156727						
67079_at	67079_at	AI350664					67079_at							Hs.156736						
67083_at	67083_at	AI937359					67083_at							Hs.156737						
67085_at	67085_at	AI803939					67085_at							Hs.156738						
67087_at	67087_at	AI351909					67087_at							Hs.369145						
67088_at	67088_at	AI568813					67088_at							Hs.369145						
67090_at	67090_at	N24720					67090_at							Hs.156787						
67092_at	67092_at	AL038704					67092_at							Hs.156827						
67094_at	67094_at	AI346259					67094_at													
67095_at	67095_at	N69032					67095_at							Hs.156855						
67098_at	67098_at	U70070					67098_at							Hs.308929						
67101_at	67101_at	AI347542					67101_at							Hs.156879						
67102_at	67102_at	AA424163					67102_at							Hs.156895						
67104_at	67104_at	AA885505					67104_at							Hs.156898						
67105_at	67105_at	AI743482					67105_at							Hs.156944						
67107_at	67107_at	AI798942					67107_at							Hs.156973						
67109_at	67109_at	AA335545	CAD56348		NM_172000		67109_at		127670				20826203	Hs.156977						
67110_at	67110_at	AA885523					67110_at							Hs.157003						
67112_at	67112_at	AA884705	Q9P2K9				67112_at		57540	IPR003392				Hs.29131	ENSG00000162489					
67114_at	67114_at	AI743118	Q8WWG1	d1jl9a_	NM_138573	EGF	67114_at		145957	IPR001336	PR00010		20070380	Hs.238914	ENSG00000169752					
67116_at	67116_at	AA724465					67116_at							Hs.157018						
67119_at	67119_at	AA724789					67119_at													
67120_at	67120_at	AI343501					67120_at							Hs.157031						
67122_at	67122_at	AI350156					67122_at							Hs.152855						
67124_at	67124_at	AI338542	Q9BVF9		NM_014679		171384_at		9702		IPB002842		7661900	Hs.151791	ENSG00000166037					
67126_at	67126_at	AA833729	Q9C0I9				67126_at		80313	IPR003592				Hs.132888	ENSG00000148814					
67128_at	67128_at	AI351436					67128_at							Hs.368826						
67129_at	67129_at	AA884401					67129_at							Hs.157107						
67131_at	67131_at	AI341404					67131_at													
67132_at	67132_at	AI141226	Q9HBV0		NM_147147		67132_at		11149				22202606	Hs.221660	ENSG00000112276	604577				
67134_at	67134_at	AI334240					67134_at							Hs.157159						
67136_at	67136_at	R64454	Q9NYI5		NM_016644		166777_at		51334		PR01222		7706194	Hs.157461	ENSG00000172856					
67138_at	67138_at	AI338592	Q9H6W7				67138_at		63892	IPR000292				Hs.16063						
67140_at	67140_at	AI351398					67140_at							Hs.157167						
67142_at	67142_at	AI352577					67142_at							Hs.157171						
67145_at	67145_at	AI216671	Q9HCH8				67145_at		57695	IPR001394				Hs.324696						
67147_at	67147_at	AI040048	Q9H410		NM_024918		163240_i_at		79980	IPR000194			14717079	Hs.266273	ENSG00000149636					
67149_at	67149_at	AI351144	Q9H9B1	d1ihba_	NM_024757	ank	67149_at		79813	IPR002110	PR01415	3.5.1.2	21314722	Hs.127236	ENSG00000165823	607001				
67151_at	67151_at	AI342212					67151_at							Hs.157216						
67153_at	67153_at	AI350836					67153_at							Hs.405326						
67155_r_at	67155_r_at	AI357533					67155_r_at													
67157_at	67157_at	AI341168					67157_at							Hs.157304						
67159_at	67159_at	AI638730					67159_at							Hs.157306						
67162_r_at	67162_r_at	AI366683	Q8TEH1		NM_033631		rc_AI059074_at		7798	IPR001993	IPB001322		19924143	Hs.396497	ENSG00000169641	601422		Q27480		
67164_at	67164_at	AI367020					67164_at							Hs.157344						
67166_at	67166_at	AW000819					67166_at							Hs.129061						
67168_at	67168_at	AI367484					67168_at													
67170_at	67170_at	AI367533					67170_at							Hs.54310						
67172_at	67172_at	AI939564					67172_at							Hs.157382						
67174_r_at	67174_r_at	AI364614					67174_r_at							Hs.345154						
67176_r_at	67176_r_at	AI356402					67176_r_at							Hs.407368						
67178_at	67178_at	AI358261	Q9H8P7		NM_017721	C2	67178_at		54862	IPR002965	IPB003894		24431973	Hs.181780	ENSG00000132024					
67180_at	67180_at	AI080268					67180_at							Hs.368860						
67182_at	67182_at	AI150147	Q8TE86	d1h6da2	NM_030819	GFO_IDH_MocA_C	67182_at		81577	IPR004104		1.1.1.18	21361942	Hs.27536	ENSG00000141098					
67183_r_at	67183_r_at	AI357775					67183_r_at							Hs.434045						
67185_at	67185_at	AI939509					67185_at							Hs.157686						
67187_at	67187_at	AI939577					67187_at							Hs.157723						
67189_at	67189_at	AI939404					67189_at							Hs.432452						
67192_at	67192_at	AI939487					67192_at							Hs.157766						
67194_at	67194_at	AI939488					67194_at							Hs.157771						
67196_at	67196_at	AI939489	Q9H5M4	d1csn__	NM_022048	pkinase	U22296_at		53944	IPR002290	IPB000861		18202957	Hs.157777		606274			YCK2	
67198_at	67198_at	AI361150					67198_at							Hs.157779						
67199_at	67199_at	AI939491					67199_at							Hs.157781						
67201_at	67201_at	AI939522	O15179	d1wwca_	NM_005010	ig	1434709_at		4897	IPR003962	IPB003529		4826864	Hs.7912	ENSG00000091129	601581				
67203_at	67203_at	AI939413					67203_at							Hs.157804						
67205_at	67205_at	AI939551					67205_at							Hs.157861						
67207_at	67207_at	AI939571	Q8NF74				67207_at							Hs.157862						
67209_at	67209_at	AI939575					67209_at							Hs.157866						
67211_at	67211_at	AI939576					67211_at							Hs.370184						
67212_at	67212_at	N39188					67212_at							Hs.157897						
67214_at	67214_at	AI365409					67214_at							Hs.157925						
67217_at	67217_at	AI361497	P49641		NM_006122	Glyco_hydro_38	67217_at		4122	IPR000602	IPB000602	3.2.1.114	5540100	Hs.295605	ENSG00000140568	600988				
67219_at	67219_at	AA825637	AAN09723	d1f3mc_	NM_016281	pkinase	67219_at		51347	IPR006025	IPB003605	2.7.1.38	9956930	Hs.12040	ENSG00000135090			Q27480	STE20	
67221_r_at	67221_r_at	AI361742					67221_r_at							Hs.302963						
67223_at	67223_at	AI003757					67223_at							Hs.408141						
67225_at	67225_at	AI381581					67225_at							Hs.408141						
67228_at	67228_at	AI380906					67228_at							Hs.158436						
67230_at	67230_at	L25504					67230_at							Hs.417566						
67233_r_at	67233_r_at	AI374667					67233_r_at													
67234_at	67234_at	AI376213					67234_at							Hs.158769						
67236_at	67236_at	AA968459					67236_at							Hs.158785						
67238_at	67238_at	AI377225					67238_at							Hs.368889						
67240_at	67240_at	AI377910					67240_at							Hs.158863						
67242_at	67242_at	AI377916					67242_at							Hs.371820						
67245_at	67245_at	AI378589	Q96FT9		NM_052873		1432494_a_at		112752				21313192	Hs.8984	ENSG00000119650					
67247_r_at	67247_r_at	H96903					67247_r_at													
67250_at	67250_at	H05301					67250_at							Hs.158922						
67251_at	67251_at	AI379741					67251_at							Hs.158936						
67253_at	67253_at	AI939600					67253_at							Hs.370194						
67255_at	67255_at	AI699393	Q9H8U1		NM_024799		67255_at		79857				13376173	Hs.159054	ENSG00000170472					
67258_at	67258_at	AI939427					67258_at							Hs.159070						
67260_r_at	67260_r_at	AI383679	Q8WV95				1452324_at		5820					Hs.8854		165140				
67262_at	67262_at	AI378639					67262_at							Hs.159189						
67264_at	67264_at	AA625057					67264_at													
67266_at	67266_at	AI376523					67266_at							Hs.159630						
67269_at	67269_at	AJ230787					67269_at							Hs.368935						
67270_at	67270_at	AI393941					67270_at							Hs.160403						
67273_at	67273_at	AI806603					67273_at							Hs.369776						
67275_at	67275_at	AI393855	Q9H9M7		NM_024522		aa035912_at		79570				13385502	Hs.4243	ENSG00000084628					
67277_at	67277_at	AA526403					67277_at							Hs.292328						
67278_at	67278_at	AA887107					67278_at							Hs.160565						
67281_r_at	67281_r_at	AA888267					67281_r_at													
67283_at	67283_at	AI433677					67283_at							Hs.160591						
67285_at	67285_at	AI939377					67285_at							Hs.370176						
67287_i_at	67287_i_at	AI939375					67287_i_at							Hs.370569						
67290_r_at	67290_r_at	AI939375					67290_r_at							Hs.370569						
67292_at	67292_at	AI939395	Q9HCP5				67292_at		9659					Hs.265848						
67295_at	67295_at	AI362842					67295_at							Hs.160882						
67297_at	67297_at	AI939540	Q9P050		NM_006590	UCH-1	aa271181_s_at		10713	IPR001394	IPB001394		5730025	Hs.12820						
67299_at	67299_at	AI367052					67299_at							Hs.410832						
67300_at	67300_at	AI392691					67300_at							Hs.410832						
67302_at	67302_at	AI393202	Q9H5J0		NM_024784	zf-C2H2	67302_at		79842	IPR000822	IPB000822		15214571	Hs.147554	ENSG00000168581					
67304_at	67304_at	AI379765					67304_at							Hs.386323						
67306_at	67306_at	H81858					67306_at													
67308_at	67308_at	AI939417					67308_at							Hs.160964						
67310_at	67310_at	AA528438					67310_at							Hs.161000						
67312_at	67312_at	H87064	O14782	d1goja_	NM_002254	kinesin	1448946_at		3797	IPR002171	IPB001752		2529575	Hs.21611	ENSG00000084731	602845				
67314_at	67314_at	AI939466					67314_at							Hs.433586						
67316_at	67316_at	AI939448					67316_at							Hs.161322						
67318_at	67318_at	AI939462					67318_at							Hs.161371						
67320_at	67320_at	AA226352					67320_at							Hs.161705						
67322_at	67322_at	AA228981					67322_at							Hs.161713						
67324_at	67324_at	AA229078					67324_at							Hs.290912						
67326_r_at	67326_r_at	AA251392	Q96IZ5	d1b7fa1	NM_018301	rrm	67326_r_at		55285	IPR000504			8922826	Hs.210859	ENSG00000089682					
67328_at	67328_at	AA292852					67328_at							Hs.161796						
67331_at	67331_at	AA447931	Q8N8R1		NM_145269		67331_at		137392				21687173	Hs.403869						
67333_r_at	67333_r_at	AA480530					67333_r_at							Hs.161952						
67334_at	67334_at	AA524834					67334_at							Hs.291069						
67336_at	67336_at	AA525014					67336_at							Hs.430192						
67338_at	67338_at	AA525098					67338_at							Hs.291073						
67340_at	67340_at	AA127388					67340_at							Hs.162146						
67342_at	67342_at	AA534416					67342_at							Hs.162185						
67344_at	67344_at	AA534801					67344_at							Hs.162193						
67347_at	67347_at	AA541664	Q92187		NM_005668	Glyco_transf_29	67347_at		7903	IPR001675	IPB001675	2.4.99.8	5777607	Hs.170180	ENSG00000113532	602547				
67349_at	67349_at	AA300361					67349_at							Hs.162277						
67350_at	67350_at	AI468343					67350_at							Hs.369034						
67352_at	67352_at	AA573135					67352_at													
67354_at	67354_at	AI927557					67354_at							Hs.162559						
67356_at	67356_at	AA568397					67356_at							Hs.162646						
67358_at	67358_at	AA814404					67358_at							Hs.291798						
67360_at	67360_at	AA639061					67360_at							Hs.291323						
67361_at	67361_at	AI582199					67361_at							Hs.162802						
67363_at	67363_at	AI792215					67363_at							Hs.430762						
67364_at	67364_at	AA649610					67364_at							Hs.162869						
67366_at	67366_at	M86080					67366_at							Hs.162956						
67368_at	67368_at	AA689527					67368_at													
67369_at	67369_at	AA828830					67369_at							Hs.291893						
67371_at	67371_at	AA828845					67371_at							Hs.163264						
67373_at	67373_at	AI962875					67373_at													
67375_at	67375_at	AI829707					67375_at							Hs.163289						
67377_at	67377_at	AI655393					67377_at							Hs.163296						
67379_at	67379_at	AA872997					67379_at							Hs.163321						
67380_at	67380_at	AI424998					67380_at							Hs.163352						
67382_at	67382_at	AA936421					67382_at							Hs.163402						
67384_at	67384_at	AI251322					67384_at													
67386_r_at	67386_r_at	AI393133					67386_r_at							Hs.164018						
67388_at	67388_at	AI417095					67388_at													
67389_at	67389_at	AI023611					67389_at							Hs.368963						
67392_at	67392_at	AI432671					67392_at													
67394_at	67394_at	AI431815					67394_at							Hs.368962						
67395_at	67395_at	AA056349	Q9H6V9		NM_021925		c78933_rc_g_at		60526	IPR000379		3.1.1.24	20844529	Hs.63300	ENSG00000118961					
67398_at	67398_at	N67296					67398_at							Hs.164254						
67400_at	67400_at	AI434817	Q9H8V2				67400_at		55666	IPR001876				Hs.164256		606590				
67401_at	67401_at	AI434675					67401_at							Hs.164299						
67404_at	67404_at	AI627340					67404_at							Hs.34650						
67406_at	67406_at	AI435365	Q8NB33				67406_at							Hs.339808						
67407_at	67407_at	AI435857					67407_at							Hs.164345						
67409_at	67409_at	AI435956					67409_at							Hs.405915						
67411_at	67411_at	AI652234					67411_at							Hs.164396						
67413_at	67413_at	AI307795					67413_at							Hs.164427						
67415_at	67415_at	AA568424					67415_at							Hs.164450						
67417_at	67417_at	AI446566					67417_at							Hs.164531						
67419_at	67419_at	AI125482	Q9ULM0				67419_at		57475	IPR000857				Hs.284157	ENSG00000054690					
67421_at	67421_at	AA194529	Q13041		NM_002808	PC_rep	aa254158_s_at		5708	IPR002015	IPB002015		6174930	Hs.74619	ENSG00000175166	606223				
67422_at	67422_at	AI440153					67422_at							Hs.165751						
67424_at	67424_at	AI453094					67424_at							Hs.165840						
67426_at	67426_at	AA906174					67426_at													
67427_at	67427_at	AA908642	Q9UFL2		NM_147185		67427_at		10142	IPR005479	IPB001101		22538389	Hs.58103		604001		Q27480		
67430_at	67430_at	AA928135					67430_at													
67432_at	67432_at	AI014320					67432_at							Hs.368104						
67433_at	67433_at	AI373162	AAD14300	d1qjba_	NM_145690	14-3-3	1370197_a_at		7534	IPR000308	IPB000308	3.1.1.4	6756041	Hs.75103		601288	MAP00580			
67435_at	67435_at	AI023599					67435_at							Hs.368526						
67438_at	67438_at	AI027226					67438_at							Hs.166428						
67441_at	67441_at	AA929020	Q9NWT6		NM_032215		67441_at		55662				8923569	Hs.14595	ENSG00000166135	606615				
67443_at	67443_at	AA693612					67443_at							Hs.368496						
